program_id,name,organization,description,category,region,eligible_household_size_min,eligible_household_size_max,income_threshold,other_eligibility_notes,languages_supported,required_documents,application_url,application_method,contact_phone,last_verified_date,source_url
nyc-prek-001,Pre-K for All,NYC Department of Education,"Free full-day, play-based Pre-K program for four-year-olds at public schools, DOE-run centers, and partner organizations.",childcare,nyc,1,,"No income requirement","Child must have been born in the qualifying year (rolling by school year); toilet training not required",en;es;zh;ko;ru;bn;ht;ur;fr;pl;ar,"Child's proof of age/birth record",https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k,online,311,2026-01-01,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
nyc-star-001,School Tax Relief Program (STAR),NYS Dept. of Taxation / NYC DOF,"Annual credit that lowers property taxes for eligible homeowners; Enhanced STAR gives a larger benefit to qualifying seniors.",financial,statewide,1,,"Basic STAR: household income $500,000/yr or less; Enhanced STAR (65+): ~$110,750/yr or less for 2026","Must own and live in the home as a primary residence; register once to receive it automatically each year",en,"Social Security numbers of all owners;Prior tax return;School district name",https://www.tax.ny.gov/pit/property/homeowner-benefit-portal.htm,online,518-457-2036,2026-01-06,https://data.cityofnewyork.us/Social-Services/NYC-Benefits-Platform-Benefits-and-Programs-Datase/kvhd-5fmu
in-pmjay-001,Ayushman Bharat (PM-JAY),National Health Authority (NHA),"Free comprehensive health insurance cover up to ₹5,00,000 per family per year for secondary and tertiary hospitalization across empanelled hospitals.",health,india,1,,"Family income below ₹2,50,000/yr or listed under SECC / BPL / Antyodaya","Covers cashless treatment, pre-existing conditions from day one, surgeries, and medicines",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;Ration Card or Family ID;BPL Certificate",https://mera.pmjay.gov.in/,online,14555,2026-06-01,https://pmjay.gov.in/
in-pds-001,NFSA / PDS Food Ration (Ration Card),Dept of Food & Public Distribution (India),"Monthly subsidized or free food grains (rice, wheat, coarse grains) providing nutrition security to vulnerable households.",food,india,1,,"Annual household income under ₹1,50,000 (Priority Households) or ₹1,00,000 (Antyodaya AAY)","Under One Nation One Ration Card (ONORC), migrant workers can collect ration from any Fair Price Shop across India",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;Ration Card;Proof of residence;Income certificate",https://nfsa.gov.in/,online,1967,2026-05-15,https://nfsa.gov.in/
in-pmkisan-001,PM-KISAN Samman Nidhi,Ministry of Agriculture & Farmers Welfare,"Direct income benefit of ₹6,000 per year transferred into bank accounts in three equal 4-monthly installments of ₹2,000.",financial,india,1,,"All small and marginal landholding farmer families with cultivable land","Institutional landholders, income tax payers, and constitutional post holders are excluded; e-KYC required",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;Land records (Khata / Khasra);Bank account passbook",https://pmkisan.gov.in/,online,155261,2026-06-10,https://pmkisan.gov.in/
in-pmay-001,Pradhan Mantri Awas Yojana (PMAY),Ministry of Housing & Urban Affairs,"Interest subsidy and direct financial grant up to ₹2,67,000 to construct or purchase pucca house for low-income and homeless families.",housing,india,1,,"EWS income up to ₹3,00,000/yr; LIG income up to ₹6,00,000/yr; rural poor families","Applicant household must not own a pucca permanent house anywhere in India; female head of household co-ownership prioritized",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;Income Certificate;Affidavit of no pucca house;Bank passbook",https://pmaymis.gov.in/,online,011-23063285,2026-04-20,https://pmaymis.gov.in/
in-mgnrega-001,MGNREGA Rural Employment Guarantee,Ministry of Rural Development,"Statutory guarantee of at least 100 days of paid wage employment per financial year to adult members willing to do manual work.",financial,india,1,,"Open to all adult members of rural households seeking wage employment","Equal wages for men and women; unemployment allowance if work is not provided within 15 days",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"MGNREGA Job Card;Aadhaar Card;Bank or Post Office passbook",https://nrega.nic.in/,in_person,1800-345-6789,2026-05-01,https://nrega.nic.in/
in-nsap-001,Indira Gandhi National Social Assistance (NSAP),Ministry of Rural Development,"Monthly pension assistance for destitute senior citizens (IGNOAPS 60+), widows (IGNWPS), and persons with severe disabilities (IGNDPS).",financial,india,1,,"Below Poverty Line (BPL) cardholders; seniors aged 60+ or persons with 40%+ certified disability","Direct Benefit Transfer (DBT) directly into pensioner's bank or postal savings account",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;BPL Card;Disability Certificate (UDID) if applicable;Age verification document;Bank passbook",https://nsap.nic.in/,online,1800-111-555,2026-03-30,https://nsap.nic.in/
in-svanidhi-001,PM SVANidhi Micro-Credit,Ministry of Housing & Urban Affairs,"Collateral-free working capital micro-loan of ₹10,000 to ₹50,000 with 7% interest subsidy for urban street vendors and hawkers.",financial,india,1,,"Urban street vendors engaged in vending on or before the scheme cutoff date","No collateral needed; early repayment rewarded with higher credit limit and monthly digital cashback",hi;en;bn;te;ta;mr;gu;kn;ml;pa,"Aadhaar Card;Vendor ID Card or Letter of Recommendation from Urban Local Body (ULB);Bank passbook",https://pmsvanidhi.mohua.gov.in/,online,1800-111-979,2026-05-10,https://pmsvanidhi.mohua.gov.in/
uk-uc-001,Universal Credit,UK Department for Work and Pensions (DWP),"Comprehensive monthly payment to help with living and housing costs for people on low income or out of work across the UK.",financial,uk,1,,"Household savings and capital must be under £16,000; income below allowance threshold","Replaces six legacy benefits including Housing Benefit, Child Tax Credit, and Income Support; must be 18+",en;cy,"National Insurance number;Bank details;Tenancy agreement / proof of rent;Proof of income",https://www.gov.uk/apply-universal-credit,online,0800 328 5644,2026-04-15,https://www.gov.uk/universal-credit
ca-ccb-001,Canada Child Benefit (CCB),Canada Revenue Agency (CRA),"Tax-free monthly benefit to help eligible Canadian families with the cost of raising children under 18 years of age.",childcare,canada,1,,"Maximum benefit of up to $7,787 per child under 6 and $6,570 per child aged 6-17; phases out with higher family income","Must live with a child under 18 and be primarily responsible for their care; must file annual Canadian tax return",en;fr,"Social Insurance Number (SIN);Child birth certificate;Proof of Canadian residency",https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html,online,1-800-387-1193,2026-05-01,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html
